Count,Latitude,Longitude,사업장명,업태구분명
121,37.5666113,127.0299063,성동삼성쉐르빌상가,그 밖의 대규모점포
122,37.5557299,127.0282587,한진종합상가,그 밖의 대규모점포
123,37.561837,127.037797,ENTER-6,그 밖의 대규모점포
124,37.5628787,127.0374323,(주)이마트 왕십리점,대형마트
125,37.4998705,126.8669748,이천일 아울렛 구로점,그 밖의 대규모점포
126,37.5809822,127.0468713,롯데쇼핑(주)롯데마트 청량리점,대형마트
127,37.5369471,127.0644873,노룬산시장,그 밖의 대규모점포
128,37.5392892,127.0674611,조양시장,그 밖의 대규모점포
129,37.5641831,127.0816798,중곡제일시장,그 밖의 대규모점포
130,37.5484375,127.0710871,파크에비뉴,그 밖의 대규모점포
131,37.557706,127.0889661,신성종합시장,그 밖의 대규모점포
132,37.5319937,127.0764359,자양종합시장,그 밖의 대규모점포
133,37.5356687,127.0946879,테크노-마트21,그 밖의 대규모점포
134,37.5359522,127.0762701,(주)이마트 자양점,대형마트
135,37.5427571,127.0699856,한아름시장,그 밖의 대규모점포
136,37.5306572,127.0827247,프라젠 스파,그 밖의 대규모점포
137,37.5398251,127.0701789,커먼그라운드,그 밖의 대규모점포
138,37.5641831,127.0816798,광성시장,그 밖의 대규모점포
139,37.5356687,127.0946879,동서울터미널상가,그 밖의 대규모점포
140,37.5406205,127.0986045,현대종합상가,그 밖의 대규모점포
141,37.5386271,127.0958742,구의현대종합상가,그 밖의 대규모점포
142,37.5745098,127.0387891,홈플러스(주) 동대문점,대형마트
143,37.5451608,127.0879358,구의 자이르네 판매시설,그 밖의 대규모점포
144,37.5365231,127.0964741,프라임프라자상가,그 밖의 대규모점포
145,37.5662733,127.0621813,장안위더스빌,그 밖의 대규모점포
146,37.5986435,127.0619327,대규모점포 개설등록,그 밖의 대규모점포
147,37.5719259,127.0723893,(주)형지쇼핑 아트몰링 장안점,그 밖의 대규모점포
148,37.5814392,127.04439,청량리현대코아,그 밖의 대규모점포
149,37.5740199,127.047423,전농프라자,그 밖의 대규모점포
150,37.5983229,127.0623402,이문동웰츠타워,그 밖의 대규모점포
151,37.5720013,127.0236535,서울특별시장,그 밖의 대규모점포
152,37.5983229,127.0623402,이마트에브리데이 이문점,복합쇼핑몰
153,37.6152957,127.0911221,동성타워프라자,복합쇼핑몰
154,37.5781513,127.0891705,(주)이마트에브리데이 면목동점,그 밖의 대규모점포
155,37.5968635,127.0902125,코스트코홀세일 상봉점,대형마트
156,37.5812495,127.0800199,홈플러스(주)면목점,대형마트
157,37.5956492,127.0117126,동소문스카이상가,그 밖의 대규모점포
